"Step","male_silero - loss/g/kl","male_silero - loss/g/kl__MIN","male_silero - loss/g/kl__MAX"
"372","2.969451665878296","2.969451665878296","2.969451665878296"
"373","2.3344900608062744","2.3344900608062744","2.3344900608062744"
"374","2.767951488494873","2.767951488494873","2.767951488494873"
"375","2.1973438262939453","2.1973438262939453","2.1973438262939453"
"376","1.8163203001022339","1.8163203001022339","1.8163203001022339"
"377","2.119091272354126","2.119091272354126","2.119091272354126"
"378","2.443058490753174","2.443058490753174","2.443058490753174"
"379","2.436567544937134","2.436567544937134","2.436567544937134"
"380","3.0396547317504883","3.0396547317504883","3.0396547317504883"
"381","1.8493835926055908","1.8493835926055908","1.8493835926055908"
"382","2.153214931488037","2.153214931488037","2.153214931488037"
"383","2.835670232772827","2.835670232772827","2.835670232772827"
"384","1.999328851699829","1.999328851699829","1.999328851699829"
"385","2.8010952472686768","2.8010952472686768","2.8010952472686768"
"386","1.9900457859039307","1.9900457859039307","1.9900457859039307"
"387","2.2198903560638428","2.2198903560638428","2.2198903560638428"
"388","1.8891786336898804","1.8891786336898804","1.8891786336898804"
"389","2.0430033206939697","2.0430033206939697","2.0430033206939697"
"390","2.175626277923584","2.175626277923584","2.175626277923584"
"391","2.342836618423462","2.342836618423462","2.342836618423462"
"392","2.1921675205230713","2.1921675205230713","2.1921675205230713"
"393","2.5958821773529053","2.5958821773529053","2.5958821773529053"
"394","2.034173011779785","2.034173011779785","2.034173011779785"
"395","2.5338730812072754","2.5338730812072754","2.5338730812072754"
"396","2.2069718837738037","2.2069718837738037","2.2069718837738037"
"397","2.5186614990234375","2.5186614990234375","2.5186614990234375"
"398","2.201308012008667","2.201308012008667","2.201308012008667"
"399","2.3864662647247314","2.3864662647247314","2.3864662647247314"
"400","2.3417582511901855","2.3417582511901855","2.3417582511901855"
"401","1.7894190549850464","1.7894190549850464","1.7894190549850464"
"402","1.5950932502746582","1.5950932502746582","1.5950932502746582"
"403","2.450895071029663","2.450895071029663","2.450895071029663"
"404","1.8988256454467773","1.8988256454467773","1.8988256454467773"
"405","2.2820987701416016","2.2820987701416016","2.2820987701416016"
"406","1.9836986064910889","1.9836986064910889","1.9836986064910889"
"407","2.0395095348358154","2.0395095348358154","2.0395095348358154"
"408","2.2338900566101074","2.2338900566101074","2.2338900566101074"
"409","2.216693639755249","2.216693639755249","2.216693639755249"
"410","1.757968544960022","1.757968544960022","1.757968544960022"
"411","2.093808174133301","2.093808174133301","2.093808174133301"
"412","2.2612786293029785","2.2612786293029785","2.2612786293029785"
"413","2.5407466888427734","2.5407466888427734","2.5407466888427734"
"414","2.639822006225586","2.639822006225586","2.639822006225586"
"415","1.947840690612793","1.947840690612793","1.947840690612793"
"416","2.4425876140594482","2.4425876140594482","2.4425876140594482"
"417","2.384131908416748","2.384131908416748","2.384131908416748"
"418","2.213125705718994","2.213125705718994","2.213125705718994"
"419","1.8495280742645264","1.8495280742645264","1.8495280742645264"
"420","2.423163652420044","2.423163652420044","2.423163652420044"
"421","2.020442008972168","2.020442008972168","2.020442008972168"
"422","2.044013023376465","2.044013023376465","2.044013023376465"
"423","2.4155232906341553","2.4155232906341553","2.4155232906341553"
"424","2.2144393920898438","2.2144393920898438","2.2144393920898438"
"425","1.8694463968276978","1.8694463968276978","1.8694463968276978"
"426","2.4712719917297363","2.4712719917297363","2.4712719917297363"
"427","2.149897813796997","2.149897813796997","2.149897813796997"
"428","2.367309808731079","2.367309808731079","2.367309808731079"
"429","2.6911096572875977","2.6911096572875977","2.6911096572875977"
"430","2.1058096885681152","2.1058096885681152","2.1058096885681152"
"431","1.9026933908462524","1.9026933908462524","1.9026933908462524"
"432","2.164177179336548","2.164177179336548","2.164177179336548"
"433","2.7771549224853516","2.7771549224853516","2.7771549224853516"
"434","2.153064727783203","2.153064727783203","2.153064727783203"
"435","2.362884521484375","2.362884521484375","2.362884521484375"
"436","2.248300552368164","2.248300552368164","2.248300552368164"
"437","2.498365640640259","2.498365640640259","2.498365640640259"
"438","2.388913154602051","2.388913154602051","2.388913154602051"
"439","2.320344924926758","2.320344924926758","2.320344924926758"
"440","2.258687734603882","2.258687734603882","2.258687734603882"
"441","2.546445369720459","2.546445369720459","2.546445369720459"
"442","1.7867845296859741","1.7867845296859741","1.7867845296859741"
"443","2.374866485595703","2.374866485595703","2.374866485595703"
"444","2.214341640472412","2.214341640472412","2.214341640472412"
"445","1.9748620986938477","1.9748620986938477","1.9748620986938477"
"446","1.9846824407577515","1.9846824407577515","1.9846824407577515"
"447","2.2039952278137207","2.2039952278137207","2.2039952278137207"
"448","2.74196457862854","2.74196457862854","2.74196457862854"
"449","2.314305067062378","2.314305067062378","2.314305067062378"
"450","2.2688791751861572","2.2688791751861572","2.2688791751861572"
"451","1.9834930896759033","1.9834930896759033","1.9834930896759033"
"452","2.571281909942627","2.571281909942627","2.571281909942627"
"453","2.5890486240386963","2.5890486240386963","2.5890486240386963"
"454","2.311007499694824","2.311007499694824","2.311007499694824"
"455","1.6884762048721313","1.6884762048721313","1.6884762048721313"
"456","1.859026551246643","1.859026551246643","1.859026551246643"
"457","2.3176839351654053","2.3176839351654053","2.3176839351654053"
"458","2.6014041900634766","2.6014041900634766","2.6014041900634766"
"459","2.574981451034546","2.574981451034546","2.574981451034546"
"460","2.3041698932647705","2.3041698932647705","2.3041698932647705"
"461","2.084118366241455","2.084118366241455","2.084118366241455"
"462","1.9801901578903198","1.9801901578903198","1.9801901578903198"
"463","1.807860016822815","1.807860016822815","1.807860016822815"
