"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"145","8.259063720703125","8.259063720703125","8.259063720703125"
"146","9.1088285446167","9.1088285446167","9.1088285446167"
"147","8.026793479919434","8.026793479919434","8.026793479919434"
"148","8.388627052307129","8.388627052307129","8.388627052307129"
"149","8.257195472717285","8.257195472717285","8.257195472717285"
"150","7.1877593994140625","7.1877593994140625","7.1877593994140625"
"151","8.622274398803711","8.622274398803711","8.622274398803711"
"152","7.535905361175537","7.535905361175537","7.535905361175537"
"153","7.344597816467285","7.344597816467285","7.344597816467285"
"154","8.265481948852539","8.265481948852539","8.265481948852539"
"155","7.690507888793945","7.690507888793945","7.690507888793945"
"156","8.388870239257812","8.388870239257812","8.388870239257812"
"157","8.264430046081543","8.264430046081543","8.264430046081543"
"158","7.61604118347168","7.61604118347168","7.61604118347168"
"159","7.998015880584717","7.998015880584717","7.998015880584717"
"160","8.474306106567383","8.474306106567383","8.474306106567383"
"161","8.539302825927734","8.539302825927734","8.539302825927734"
"162","7.144744396209717","7.144744396209717","7.144744396209717"
"163","6.892842769622803","6.892842769622803","6.892842769622803"
"164","8.098712921142578","8.098712921142578","8.098712921142578"
"165","8.193554878234863","8.193554878234863","8.193554878234863"
"166","8.468372344970703","8.468372344970703","8.468372344970703"
"167","8.597835540771484","8.597835540771484","8.597835540771484"
"168","8.233733177185059","8.233733177185059","8.233733177185059"
"169","7.072546005249023","7.072546005249023","7.072546005249023"
"170","8.033940315246582","8.033940315246582","8.033940315246582"
"171","8.51999568939209","8.51999568939209","8.51999568939209"
"172","6.384354114532471","6.384354114532471","6.384354114532471"
"173","7.281306266784668","7.281306266784668","7.281306266784668"
"174","7.316978931427002","7.316978931427002","7.316978931427002"
"175","9.737815856933594","9.737815856933594","9.737815856933594"
"176","7.707027435302734","7.707027435302734","7.707027435302734"
"177","6.780610084533691","6.780610084533691","6.780610084533691"
"178","8.253851890563965","8.253851890563965","8.253851890563965"
"179","7.430450439453125","7.430450439453125","7.430450439453125"
