"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"235","37.654502868652344","37.654502868652344","37.654502868652344"
"236","35.870399475097656","35.870399475097656","35.870399475097656"
"237","37.44083023071289","37.44083023071289","37.44083023071289"
"238","37.96628189086914","37.96628189086914","37.96628189086914"
"239","36.269203186035156","36.269203186035156","36.269203186035156"
"240","40.4486083984375","40.4486083984375","40.4486083984375"
"241","38.88796615600586","38.88796615600586","38.88796615600586"
"242","35.815467834472656","35.815467834472656","35.815467834472656"
"243","39.141178131103516","39.141178131103516","39.141178131103516"
"244","35.82941818237305","35.82941818237305","35.82941818237305"
"245","37.8930549621582","37.8930549621582","37.8930549621582"
"246","38.144554138183594","38.144554138183594","38.144554138183594"
"247","38.21236801147461","38.21236801147461","38.21236801147461"
"248","36.75273513793945","36.75273513793945","36.75273513793945"
"249","37.50176239013672","37.50176239013672","37.50176239013672"
"250","37.88639831542969","37.88639831542969","37.88639831542969"
"251","37.0490608215332","37.0490608215332","37.0490608215332"
"252","36.932891845703125","36.932891845703125","36.932891845703125"
"253","35.57096481323242","35.57096481323242","35.57096481323242"
"254","36.61021423339844","36.61021423339844","36.61021423339844"
"255","36.714141845703125","36.714141845703125","36.714141845703125"
"256","38.0287971496582","38.0287971496582","38.0287971496582"
"257","36.131385803222656","36.131385803222656","36.131385803222656"
"258","37.184730529785156","37.184730529785156","37.184730529785156"
"259","35.92348861694336","35.92348861694336","35.92348861694336"
"260","37.07004165649414","37.07004165649414","37.07004165649414"
"261","36.50938034057617","36.50938034057617","36.50938034057617"
"262","38.41259002685547","38.41259002685547","38.41259002685547"
"263","38.518531799316406","38.518531799316406","38.518531799316406"
"264","36.066219329833984","36.066219329833984","36.066219329833984"
"265","36.593116760253906","36.593116760253906","36.593116760253906"
"266","36.79275131225586","36.79275131225586","36.79275131225586"
"267","37.062644958496094","37.062644958496094","37.062644958496094"
"268","37.636714935302734","37.636714935302734","37.636714935302734"
"269","37.215675354003906","37.215675354003906","37.215675354003906"
"270","39.067378997802734","39.067378997802734","39.067378997802734"
"271","36.388423919677734","36.388423919677734","36.388423919677734"
"272","36.77855682373047","36.77855682373047","36.77855682373047"
"273","35.80373001098633","35.80373001098633","35.80373001098633"
