"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"253","2.5119540691375732","2.5119540691375732","2.5119540691375732"
"254","2.212538003921509","2.212538003921509","2.212538003921509"
"255","2.355412244796753","2.355412244796753","2.355412244796753"
"256","2.3210673332214355","2.3210673332214355","2.3210673332214355"
"257","2.608452320098877","2.608452320098877","2.608452320098877"
"258","2.2985525131225586","2.2985525131225586","2.2985525131225586"
"259","2.256906032562256","2.256906032562256","2.256906032562256"
"260","2.647528886795044","2.647528886795044","2.647528886795044"
"261","2.236008405685425","2.236008405685425","2.236008405685425"
"262","2.3963046073913574","2.3963046073913574","2.3963046073913574"
"263","2.1431021690368652","2.1431021690368652","2.1431021690368652"
"264","2.3979697227478027","2.3979697227478027","2.3979697227478027"
"265","2.1289258003234863","2.1289258003234863","2.1289258003234863"
"266","2.247396945953369","2.247396945953369","2.247396945953369"
"267","2.3255701065063477","2.3255701065063477","2.3255701065063477"
"268","2.3662590980529785","2.3662590980529785","2.3662590980529785"
"269","2.4938106536865234","2.4938106536865234","2.4938106536865234"
"270","2.8495192527770996","2.8495192527770996","2.8495192527770996"
"271","1.8421186208724976","1.8421186208724976","1.8421186208724976"
"272","2.3176331520080566","2.3176331520080566","2.3176331520080566"
"273","2.131359338760376","2.131359338760376","2.131359338760376"
"274","2.1392149925231934","2.1392149925231934","2.1392149925231934"
"275","2.3814923763275146","2.3814923763275146","2.3814923763275146"
"276","2.27781343460083","2.27781343460083","2.27781343460083"
"277","2.807152032852173","2.807152032852173","2.807152032852173"
"278","2.555682420730591","2.555682420730591","2.555682420730591"
"279","2.721135377883911","2.721135377883911","2.721135377883911"
"280","2.142598867416382","2.142598867416382","2.142598867416382"
"281","2.9420063495635986","2.9420063495635986","2.9420063495635986"
"282","2.5500245094299316","2.5500245094299316","2.5500245094299316"
"283","2.2797610759735107","2.2797610759735107","2.2797610759735107"
"284","2.4449996948242188","2.4449996948242188","2.4449996948242188"
"285","2.3092617988586426","2.3092617988586426","2.3092617988586426"
"286","2.307088851928711","2.307088851928711","2.307088851928711"
"287","1.9205691814422607","1.9205691814422607","1.9205691814422607"
"288","2.1752560138702393","2.1752560138702393","2.1752560138702393"
"289","2.1460800170898438","2.1460800170898438","2.1460800170898438"
"290","2.7928318977355957","2.7928318977355957","2.7928318977355957"
"291","2.4373202323913574","2.4373202323913574","2.4373202323913574"
"292","2.63889217376709","2.63889217376709","2.63889217376709"
"293","2.3869516849517822","2.3869516849517822","2.3869516849517822"
"294","2.6745855808258057","2.6745855808258057","2.6745855808258057"
"295","1.9938572645187378","1.9938572645187378","1.9938572645187378"
"296","2.5085463523864746","2.5085463523864746","2.5085463523864746"
"297","2.0591306686401367","2.0591306686401367","2.0591306686401367"
"298","2.353492259979248","2.353492259979248","2.353492259979248"
"299","2.325596570968628","2.325596570968628","2.325596570968628"
"300","2.2207343578338623","2.2207343578338623","2.2207343578338623"
"301","2.48083758354187","2.48083758354187","2.48083758354187"
"302","2.301319122314453","2.301319122314453","2.301319122314453"
"303","2.784959554672241","2.784959554672241","2.784959554672241"
"304","2.3436765670776367","2.3436765670776367","2.3436765670776367"
"305","1.975347876548767","1.975347876548767","1.975347876548767"
"306","2.4299752712249756","2.4299752712249756","2.4299752712249756"
"307","2.3584702014923096","2.3584702014923096","2.3584702014923096"
"308","2.357186794281006","2.357186794281006","2.357186794281006"
"309","2.544023275375366","2.544023275375366","2.544023275375366"
"310","2.0571646690368652","2.0571646690368652","2.0571646690368652"
"311","2.493074893951416","2.493074893951416","2.493074893951416"
"312","2.373051404953003","2.373051404953003","2.373051404953003"
"313","2.509801149368286","2.509801149368286","2.509801149368286"
"314","2.3509984016418457","2.3509984016418457","2.3509984016418457"
"315","2.0932750701904297","2.0932750701904297","2.0932750701904297"
"316","2.1525027751922607","2.1525027751922607","2.1525027751922607"
"317","1.754459261894226","1.754459261894226","1.754459261894226"
"318","2.644554853439331","2.644554853439331","2.644554853439331"
"319","2.4000165462493896","2.4000165462493896","2.4000165462493896"
"320","2.340869188308716","2.340869188308716","2.340869188308716"
"321","2.5686533451080322","2.5686533451080322","2.5686533451080322"
"322","2.5499136447906494","2.5499136447906494","2.5499136447906494"
"323","2.4746921062469482","2.4746921062469482","2.4746921062469482"
"324","2.3446426391601562","2.3446426391601562","2.3446426391601562"
"325","1.9958256483078003","1.9958256483078003","1.9958256483078003"
"326","2.6710898876190186","2.6710898876190186","2.6710898876190186"
"327","2.4415626525878906","2.4415626525878906","2.4415626525878906"
"328","2.286405086517334","2.286405086517334","2.286405086517334"
"329","2.1114282608032227","2.1114282608032227","2.1114282608032227"
"330","2.309818983078003","2.309818983078003","2.309818983078003"
"331","2.368971824645996","2.368971824645996","2.368971824645996"
"332","2.3274073600769043","2.3274073600769043","2.3274073600769043"
"333","2.4045188426971436","2.4045188426971436","2.4045188426971436"
"334","2.501760959625244","2.501760959625244","2.501760959625244"
"335","2.1058008670806885","2.1058008670806885","2.1058008670806885"
"336","2.3181192874908447","2.3181192874908447","2.3181192874908447"
"337","2.4533605575561523","2.4533605575561523","2.4533605575561523"
"338","2.4554502964019775","2.4554502964019775","2.4554502964019775"
"339","2.517848253250122","2.517848253250122","2.517848253250122"
"340","2.3979878425598145","2.3979878425598145","2.3979878425598145"
"341","2.9905247688293457","2.9905247688293457","2.9905247688293457"
"342","2.304914951324463","2.304914951324463","2.304914951324463"
"343","2.517179012298584","2.517179012298584","2.517179012298584"
"344","2.314699172973633","2.314699172973633","2.314699172973633"
"345","2.5316386222839355","2.5316386222839355","2.5316386222839355"
"346","2.4554944038391113","2.4554944038391113","2.4554944038391113"
"347","1.9316763877868652","1.9316763877868652","1.9316763877868652"
"348","2.5066444873809814","2.5066444873809814","2.5066444873809814"
"349","2.2957942485809326","2.2957942485809326","2.2957942485809326"
"350","2.3516151905059814","2.3516151905059814","2.3516151905059814"
"351","2.3138763904571533","2.3138763904571533","2.3138763904571533"
